CATEG,LOC,SCGCHSIMP,CCCHSIMP
Biscuits,"""In-home""",0.006,0.048
Cakes,"""In-home""",-0.015,-0.037
Chocolate confectionery,"""In-home""",-0.012,-0.012
Ice cream lollies and sorbets,"""In-home""",-0.05,-0.067
Morning goods,"""In-home""",-0.018,-0.005
Overall,"""In-home""",-0.022,-0.008
Puddings,"""In-home""",0.009,0.005
Sweet confectionery,"""In-home""",-0.022,0.021
Yogurts and fromage frais,"""In-home""",-0.138,-0.071
Biscuits,"""Out-of-home""",-0.039,-0.044
Breakfast cereals,"""Out-of-home""",-0.171,0.019
Cakes,"""Out-of-home""",-0.068,-0.115
Chocolate confectionery,"""Out-of-home""",0.107,0.061
Ice cream lollies and sorbets,"""Out-of-home""",-0.023,-0.176
Morning goods,"""Out-of-home""",-0.004,-0.027
Overall,"""Out-of-home""",-0.003,-0.097
Puddings,"""Out-of-home""",0.024,-0.091
Yogurts and fromage frais,"""Out-of-home""",0.024,0.01
